feature6,feature3
24.4481818182,24.9042424242
24.6855882353,25.1918181818
24.7775757576,23.9375757576
24.3766666667,24.7415151515
24.2263636364,24.7752941176
24.033030303,24.3939393939
24.3472727273,24.4196969697
24.3466666667,24.1114705882
24.8557575758,24.7670588235
24.7081818182,23.796969697
25.1360606061,23.2785294118
24.3357575758,24.35
24.8814705882,24.3260606061
24.7221212121,23.9288235294
23.12,24.995
24.4124242424,24.6354545455
24.2693939394,24.8558823529
24.2866666667,24.5184848485
24.8651515152,24.4524242424
