feature10,feature3,feature8,feature6
111.092307692,111.962352941,110.694736842,113.008235294
111.676363636,114.41375,113.204848485,114.035294118
112.105882353,110.876363636,114.185142857,111.20117647
110.726060606,111.035294118,111.532121212,111.441142857
114.585454546,112.35030303,112.987878788,115.06625
113.443636364,111.223529412,113.055757576,110.28969697
112.101714286,111.428571428,113.473939394,114.830588235
111.907878788,111.398857143,110.735686274,113.031515152
112.96,113.926060606,114.437575758,112.810285714
108.979428572,109.344242424,112.089142857,113.728484848
112.123529412,111.451764706,111.056216216,111.829411765
110.696470588,110.137647059,111.127058824,113.686857143
111.949411765,109.573714286,113.92117647,111.642285714
110.845714286,112.64969697,115.242352941,114.033142857
112.686060606,112.152,113.133333333,113.587428572
113.01882353,112.465142857,111.634117647,111.945454546
109.632195122,114.111764706,113.39882353,110.007058824
109.987058824,112.88,112.225882353,114.091764706
113.548571428,111.726060606,114.264705882,112.179393939
112.042424242,114.071764706,111.608,111.635428572
113.154285714,114.19625,111.478857143,112.497142857
112.00969697,112.315428572,113.934857143,113.829090909
114.686060606,108.330285714,111.972941176,110.164848485
113.797647059,111.691764706,108.261333333,111.249411765
111.716470588,112.934117647,112.233142857,112.542352941
110.072,113.484571428,111.937142857,109.952
112.45375,110.442285714,110.817142857,113.650588235
108.093714286,112.847058824,112.021818182,112.366060606
109.625454546,111.220606061,111.18117647,110.6
114.667,109.852941176,,
